,name,start_date
850823,被动元件III,2011-09-23
850822,印制电路板III,2011-09-23
850121,海洋捕捞III,2005-05-27
850122,水产养殖III,2005-05-27
851332,多品类奢侈品III,2021-12-11
851333,其他饰品III,2021-12-11
851331,钟表珠宝III,2021-12-11
851236,黄酒III,2008-06-26
851235,葡萄酒III,2007-07-04
851234,软饮料III,2005-05-27
851233,其他酒类III,2005-05-27
851232,啤酒III,2005-05-27
851231,白酒III,2005-05-27
857231,城轨建设III,2014-02-21
857233,水利工程III,2014-02-21
857232,路桥施工III,2014-02-21
857235,其他基础建设III,2014-02-21
857234,铁路建设III,2014-02-21
857236,基建市政工程III,2021-12-11
851721,公交III,2005-05-27
850222,焦炭加工III,2005-05-27
850221,煤炭开采III,2005-05-27
850951,电动乘用车III,2021-12-11
850952,综合乘用车III,2021-12-11
850381,复合肥III,2011-09-23
850382,氟化工及制冷剂III,2011-09-23
850383,磷化工及磷酸盐III,2011-09-23
852131,旅游综合III,2005-05-27
851171,其他家电III,2021-12-11
857671,视频媒体III,2021-12-11
857673,图片媒体III,2021-12-11
857672,音频媒体III,2021-12-11
857675,文字媒体III,2021-12-11
857674,门户网站III,2021-12-11
857676,其他数字媒体III,2021-12-11
850731,仪器仪表III,2005-05-27
857121,玻璃制造III,2021-12-11
857122,玻纤制造III,2021-12-11
851151,照明设备III,2021-12-11
851246,预加工食品III,2021-12-11
851247,保健品III,2021-12-11
852181,人力资源服务III,2021-12-11
852182,检测服务III,2021-12-11
852183,会展服务III,2021-12-11
852184,其他专业服务III,2021-12-11
850702,安防设备III,2021-12-11
850703,其他计算机设备III,2021-12-11
852221,互联网信息服务III,2005-05-27
852223,其他互联网服务III,2005-05-27
852222,移动互联网服务III,2005-05-27
850313,石油贸易III,2005-05-27
852224,有线电视网络III,2005-05-27
850311,石油加工III,2005-05-27
852226,IT服务III,2014-02-21
857341,高压设备III,2014-02-21
857343,低压设备III,2014-02-21
857342,中压设备III,2014-02-21
857344,线缆部件及其他III,2014-02-21
850411,普钢III,2005-05-27
850412,特钢III,2005-05-27
850551,铝III,2014-02-21
850553,铅锌III,2014-02-21
850552,铜III,2014-02-21
850618,涂料III,2021-12-11
850616,管材III,2011-09-23
851271,软饮料III,2021-12-11
850617,防水材料III,2021-12-11
857821,国有大型银行III,2021-12-11
850851,电子系统组装III,2011-09-23
850852,电子零部件制造III,2011-09-23
850174,其他养殖III,2021-12-11
850173,肉鸡养殖III,2021-12-11
850172,生猪养殖III,2021-12-11
850171,畜禽养殖III,2011-09-23
852071,旅游零售III,2021-12-11
857352,光伏电池组件III,2021-12-11
857353,逆变器III,2021-12-11
857243,国际工程承包III,2014-02-21
850353,改性塑料III,2011-09-23
850352,合成革III,2011-09-23
850351,其他塑料制品III,2005-05-27
851615,新能源发电III,2014-02-21
857354,光伏辅材III,2021-12-11
850355,膜材料III,2021-12-11
850354,合成树脂III,2021-12-11
851619,其他能源发电III,2021-12-11
851618,核力发电III,2021-12-11
857355,光伏加工设备III,2021-12-11
850853,品牌消费电子III,2021-12-11
850854,消费电子零部件及组装III,2021-12-11
850142,畜禽饲料III,2021-12-11
850181,动物保健III,2011-09-23
850143,水产饲料III,2021-12-11
852171,本地生活服务III,2021-12-11
850911,乘用车III,2005-05-27
859721,环保设备III,2021-12-11
850141,饲料III,2005-05-27
850913,商用载客车III,2005-05-27
852062,跨境电商III,2021-12-11
851534,体外诊断III,2021-12-11
850912,商用载货车III,2005-05-27
851531,生物制品III,2005-05-27
851532,医疗设备III,2021-12-11
851927,资产管理III,2021-12-11
851926,金融信息服务III,2021-12-11
851925,租赁III,2021-12-11
851924,信托III,2021-12-11
851923,期货III,2021-12-11
851922,金融控股III,2021-12-11
851921,多元金融III,2005-05-27
850914,专用汽车III,2005-05-27
850326,钛白粉III,2021-12-11
850324,其他化学原料III,2007-07-04
850325,煤化工III,2021-12-11
850322,氯碱III,2005-05-27
850323,无机盐III,2005-05-27
850321,纯碱III,2005-05-27
852311,综合III,2005-05-27
857421,航空装备III,2014-02-21
850751,金属制品III,2008-06-26
857661,影视动漫制作III,2021-12-11
851928,其他多元金融III,2021-12-11
851522,血液制品III,2021-12-11
857861,其他银行III,2021-12-11
851512,化学制剂III,2005-05-27
851513,化学药III,2005-05-27
850521,金属新材料III,2005-05-27
850522,磁性材料III,2008-06-26
850523,非金属新材料III,2008-06-26
850815,模拟芯片设计III,2021-12-11
857331,综合电力设备商III,2014-02-21
857332,风电设备III,2014-02-21
857333,光伏设备III,2014-02-21
857334,火电设备III,2014-02-21
857335,储能设备III,2014-02-21
857336,其它电源设备III,2014-02-21
850811,集成电路III,2005-05-27
850137,胶黏剂及胶带III,2021-12-11
850136,有机硅III,2021-12-11
850135,食品及饲料添加剂III,2021-12-11
851813,产业地产III,2021-12-11
851325,鞋帽III,2011-09-23
851324,休闲服装III,2011-09-23
851327,其他服装III,2011-09-23
851326,家纺III,2011-09-23
851321,服装III,2005-05-27
851323,女装III,2011-09-23
851322,男装III,2011-09-23
851242,调味发酵品III,2011-09-23
851243,乳品III,2011-09-23
851241,肉制品III,2011-09-23
851329,非运动服装III,2021-12-11
851328,运动服装III,2021-12-11
851244,食品综合III,2011-09-23
851141,厨房电器III,2021-12-11
850625,专业工程III,2011-09-23
850624,基础建设III,2011-09-23
850623,房屋建设III,2011-09-23
850622,装饰园林III,2005-05-27
850621,建筑施工III,2005-05-27
850784,其他自动化设备III,2021-12-11
851711,港口III,2005-05-27
850782,工控设备III,2021-12-11
850783,激光设备III,2021-12-11
857641,游戏III,2021-12-11
850144,宠物食品III,2021-12-11
851133,个护小家电III,2021-12-11
857241,钢结构III,2014-02-21
850339,其他化学制品III,2008-06-26
857242,化学工程III,2014-02-21
850338,纺织化学用品III,2008-06-26
850814,数字芯片设计III,2021-12-11
857111,水泥制造III,2021-12-11
857112,水泥制品III,2021-12-11
850817,集成电路封测III,2021-12-11
850812,分立器件III,2007-07-04
850813,半导体材料III,2007-07-04
852034,商业物业经营III,2021-12-11
857244,其他专业工程III,2014-02-21
851811,房地产开发III,2005-05-27
850818,半导体设备III,2021-12-11
852031,百货III,2014-02-21
852032,超市III,2014-02-21
852033,多业态零售III,2014-02-21
852214,通信应用增值服务III,2021-12-11
851132,清洁小家电III,2021-12-11
851142,卫浴电器III,2021-12-11
852212,电信运营商III,2021-12-11
852213,通信工程及服务III,2021-12-11
850713,磨具磨料III,2005-05-27
850712,机械基础件III,2005-05-27
850711,机床工具III,2005-05-27
850241,油气钻采服务III,2011-09-23
850716,其它通用机械III,2005-05-27
850361,轮胎III,2005-05-27
850364,橡胶助剂III,2021-12-11
851783,中间产品及消费品供应链服务III,2021-12-11
851782,原材料供应链服务III,2021-12-11
851812,商业地产III,2021-12-11
859611,油气开采III,2021-12-11
851787,公路货运III,2021-12-11
851786,仓储物流III,2021-12-11
851611,火电III,2005-05-27
850715,制冷空调设备III,2005-05-27
851911,银行III,2005-05-27
850242,其他采掘服务III,2011-09-23
851613,燃机发电III,2005-05-27
850362,其他橡胶制品III,2008-06-27
851612,水电III,2005-05-27
850561,钴III,2021-12-11
850562,镍III,2021-12-11
850363,炭黑III,2011-09-23
857374,燃料电池III,2021-12-11
857375,蓄电池及其他电池III,2021-12-11
851565,其他医疗服务III,2021-12-11
851564,医院III,2021-12-11
851563,医疗研发外包III,2021-12-11
859852,培训教育III,2021-12-11
859851,学历教育III,2021-12-11
851614,热电III,2005-05-27
851617,风力发电III,2021-12-11
851616,光伏发电III,2021-12-11
859931,博彩III,2021-12-11
857831,股份制银行III,2021-12-11
851282,烘焙食品III,2021-12-11
851283,熟食III,2021-12-11
851281,零食III,2021-12-11
851041,垂直应用软件III,2021-12-11
851042,横向通用软件III,2021-12-11
850781,机器人III,2021-12-11
851781,物流III,2005-05-27
857371,锂电池III,2021-12-11
851751,机场III,2005-05-27
857681,社交III,2021-12-11
850211,石油开采III,2005-05-27
851211,肉制品III,2005-05-27
851213,食品综合III,2007-07-04
851212,制糖III,2005-05-27
857372,电池化学品III,2021-12-11
857251,园林工程III,2014-02-21
851741,航空运输III,2005-05-27
851544,互联网药店III,2021-12-11
851621,水务III,2005-05-27
850614,其他建材III,2005-05-27
850615,耐火材料III,2011-09-23
850612,水泥制造III,2005-05-27
850613,陶瓷制造III,2005-05-27
850611,玻璃制造III,2005-05-27
859714,综合环境治理III,2021-12-11
859711,大气治理III,2021-12-11
859712,水务及水治理III,2021-12-11
859713,固废治理III,2021-12-11
850191,农业综合III,2021-12-11
850924,轮胎轮毂III,2021-12-11
850925,其他汽车零部件III,2021-12-11
850926,汽车电子电气系统III,2021-12-11
851821,园区开发III,2005-05-27
852063,电商服务III,2021-12-11
850921,汽车零部件III,2005-05-27
852061,综合电商III,2021-12-11
850923,底盘与发动机系统III,2021-12-11
852141,餐饮III,2005-05-27
851523,疫苗III,2021-12-11
859812,洗护用品III,2021-12-11
851521,中药III,2005-05-27
851524,其他生物制品III,2021-12-11
850443,钢铁管材III,2021-12-11
850442,板材III,2021-12-11
850441,长材III,2021-12-11
850336,钾肥III,2005-05-27
850331,氮肥III,2005-05-27
850333,农药III,2005-05-27
850332,磷肥III,2005-05-27
851131,厨房小家电III,2021-12-11
857431,地面兵装III,2014-02-21
852244,其他文化传媒III,2011-09-23
852243,营销服务III,2011-09-23
852242,影视动漫III,2005-05-27
852241,平面媒体III,2005-05-27
851441,其他轻工制造III,2014-02-21
850728,楼宇设备III,2011-09-23
850729,环保设备III,2011-09-23
850722,工程机械III,2005-05-27
850723,农用机械III,2005-05-27
850721,纺织服装设备III,2005-05-27
850726,印刷包装机械III,2005-05-27
850727,其它专用机械III,2005-05-27
850724,重型机械III,2005-05-27
850725,冶金矿采化工设备III,2005-05-27
851411,造纸III,2005-05-27
857323,计量仪表III,2014-02-21
857322,工控自动化III,2014-02-21
857321,电网自动化III,2014-02-21
851551,医疗器械III,2005-05-27
851412,大宗用纸III,2021-12-11
850432,冶钢辅料III,2021-12-11
850431,铁矿石III,2021-12-11
850532,白银III,2021-12-11
850531,黄金III,2014-02-21
851542,医药流通III,2021-12-11
851311,毛纺III,2005-05-27
851312,棉纺III,2005-05-27
851313,丝绸III,2005-05-27
851314,印染III,2005-05-27
851315,辅料III,2011-09-23
851316,其他纺织III,2011-09-23
851317,纺织鞋类制造III,2021-12-11
851251,白酒III,2021-12-11
859853,教育运营及其他III,2021-12-11
851533,医疗耗材III,2021-12-11
851562,诊断服务III,2021-12-11
851561,医疗服务III,2007-07-04
850337,民爆用品III,2008-06-26
857373,锂电专用设备III,2021-12-11
858811,其他交运设备III,2014-02-21
858812,摩托车III,2021-12-11
852052,专业市场III,2014-02-21
852051,一般物业经营III,2014-02-21
857652,广告媒体III,2021-12-11
857651,营销代理III,2021-12-11
851610,电能综合服务III,2021-12-11
850154,其他农产品加工III,2011-09-23
850151,果蔬加工III,2005-05-27
850153,畜禽加工III,2005-05-27
850152,粮油加工III,2005-05-27
857261,工程咨询服务III,2021-12-11
852021,贸易III,2005-05-27
859832,医美服务III,2021-12-11
852211,通信运营III,2005-05-27
850372,聚氨酯III,2011-09-23
851771,铁路运输III,2005-05-27
859621,油田服务III,2021-12-11
859622,油气及炼化工程III,2021-12-11
859811,生活用纸III,2021-12-11
852112,自然景点III,2005-05-27
852111,人工景点III,2005-05-27
851452,娱乐用品III,2021-12-11
851451,文化用品III,2021-12-11
859822,品牌化妆品III,2021-12-11
857362,风电零部件III,2021-12-11
857361,风电整机III,2021-12-11
859821,化妆品制造及其他III,2021-12-11
850771,工程机械整机III,2021-12-11
850772,工程机械器件III,2021-12-11
857841,城商行III,2021-12-11
851426,综合包装III,2021-12-11
851424,塑料包装III,2021-12-11
851425,纸包装III,2021-12-11
851422,印刷III,2021-12-11
851423,金属包装III,2021-12-11
851421,包装印刷III,2005-05-27
859521,焦炭III,2021-12-11
850714,内燃机III,2005-05-27
852225,软件开发III,2014-02-21
851511,化学原料药III,2005-05-27
850111,种子生产III,2005-05-27
850113,其他种植业III,2005-05-27
857693,其他出版III,2021-12-11
857692,大众出版III,2021-12-11
857691,教育出版III,2021-12-11
850832,LEDIII,2011-09-23
850833,光学元件III,2011-09-23
850831,显示器件III,2005-05-27
851221,调味发酵品III,2005-05-27
851222,乳品III,2005-05-27
851785,跨境物流III,2021-12-11
850841,其他电子III,2005-05-27
857381,输变电设备III,2021-12-11
857382,配电设备III,2021-12-11
857221,装修装饰III,2014-02-21
